Date,Equity,DailyReturn
2021-10-06,572993.904395,0.006307
2021-10-07,578199.246730,0.009084
2021-10-08,576625.597254,-0.002722
2021-10-11,576262.301823,-0.000630
2021-10-12,571016.656402,-0.009103
2021-10-13,568595.569877,-0.004240
2021-10-14,580095.762405,0.020226
2021-10-15,584453.856908,0.007513
2021-10-18,591354.010268,0.011806
2021-10-19,600271.714707,0.015080
2021-10-20,602289.139643,0.003361
2021-10-21,603176.942850,0.001474
2021-10-22,599989.214667,-0.005285
2021-10-25,599787.383872,-0.000336
2021-10-26,602531.462740,0.004575
2021-10-27,600634.947065,-0.003148
2021-10-28,615645.670903,0.024991
2021-10-29,604468.155358,-0.018156
2021-11-01,601078.722525,-0.005607
2021-11-02,605355.895493,0.007116
2021-11-03,611287.639472,0.009799
2021-11-04,609149.052988,-0.003498
2021-11-05,611331.222309,0.003582
2021-11-08,607936.743706,-0.005553
2021-11-09,609431.931461,0.002459
2021-11-10,597753.244824,-0.019163
2021-11-11,597551.161741,-0.000338
2021-11-12,606118.311320,0.014337
2021-11-15,606158.614406,0.000066
2021-11-16,610199.582273,0.006667
2021-11-17,620261.982679,0.016490
2021-11-18,637961.660348,0.028536
2021-11-19,648791.900783,0.016976
2021-11-22,650691.128559,0.002927
2021-11-23,652267.111704,0.002422
2021-11-24,654408.977938,0.003284
2021-11-26,633678.306312,-0.031678
2021-11-29,647539.036126,0.021873
2021-11-30,667986.955423,0.031578
2021-12-01,665845.026117,-0.003207
2021-12-02,661763.629019,-0.006130
2021-12-03,654004.811772,-0.011724
2021-12-06,668067.813886,0.021503
2021-12-07,691748.305646,0.035446
2021-12-08,707508.389381,0.022783
2021-12-09,705407.015449,-0.002970
2021-12-10,725167.763964,0.028013
2021-12-13,710175.457186,-0.020674
2021-12-14,704477.647713,-0.008023
2021-12-15,724561.767003,0.028509
2021-12-16,696112.518145,-0.039264
2021-12-17,691586.525650,-0.006502
2021-12-20,685969.448494,-0.008122
2021-12-21,699062.464423,0.019087
2021-12-22,709771.354092,0.015319
2021-12-23,712357.626508,0.003644
2021-12-27,728723.896419,0.022975
2021-12-28,724521.211628,-0.005767
2021-12-29,724884.948563,0.000502
2021-12-30,720116.506826,-0.006578
2021-12-31,717570.537497,-0.003535
2022-01-03,735512.853626,0.025004
2022-01-04,726178.053235,-0.012692
2022-01-05,706861.900117,-0.026600
2022-01-06,695061.988860,-0.016693
2022-01-07,695748.907354,0.000988
2022-01-10,695829.702744,0.000116
2022-01-11,707508.389381,0.016784
2022-01-12,709326.947912,0.002570
2022-01-13,695829.702744,-0.019028
2022-01-14,699385.835199,0.005111
2022-01-18,686171.531577,-0.018894
2022-01-19,671744.981745,-0.021025
2022-01-20,664794.370687,-0.010347
2022-01-21,656308.016498,-0.012765
2022-01-24,653115.684050,-0.004864
2022-01-25,645680.300652,-0.011384
2022-01-26,645316.437573,-0.000564
2022-01-27,643417.209796,-0.002943
2022-01-28,688313.397812,0.069778
2022-01-31,706296.017027,0.026126
2022-02-01,705609.224676,-0.000972
2022-02-02,710579.560280,0.007044
2022-02-03,698698.790560,-0.016720
2022-02-04,697525.712139,-0.001679
2022-02-07,694571.666173,-0.004235
2022-02-08,707398.202381,0.018467
2022-02-09,713265.360506,0.008294
2022-02-10,696433.113748,-0.023599
2022-02-11,682352.262224,-0.020219
2022-02-14,683323.194490,0.001423
2022-02-15,699143.890535,0.023153
2022-02-16,698172.895197,-0.001389
2022-02-17,683323.194490,-0.021269
2022-02-18,676930.267145,-0.009356
2022-02-22,664872.643192,-0.017812
2022-02-23,647676.217994,-0.025864
2022-02-24,658479.463559,0.016680
2022-02-25,667017.095384,0.012966
2022-02-28,668109.567631,0.001638
2022-03-01,660340.848061,-0.011628
2022-03-02,673935.981164,0.020588
2022-03-03,672600.744314,-0.001981
2022-03-04,660219.434224,-0.018408
2022-03-07,644560.644320,-0.023718
2022-03-08,637034.752425,-0.011676
2022-03-09,659329.234276,0.034997
2022-03-10,641404.515270,-0.027186
2022-03-11,626069.411502,-0.023909
2022-03-14,609439.563188,-0.026562
2022-03-15,627526.125262,0.029677
2022-03-16,645734.038101,0.029015
2022-03-17,649901.654792,0.006454
2022-03-18,663496.787894,0.020919
2022-03-21,669161.484503,0.008538
2022-03-22,683080.682175,0.020801
2022-03-23,688704.697265,0.008233
2022-03-24,704323.121010,0.022678
2022-03-25,706953.165479,0.003734
2022-03-28,710513.902200,0.005037
2022-03-29,724109.098375,0.019134
2022-03-30,719294.046338,-0.006650
2022-03-31,706508.065505,-0.017776
2022-04-01,705294.242493,-0.001718
2022-04-04,722005.012342,0.023693
2022-04-05,708328.894633,-0.018942
2022-04-06,695259.530750,-0.018451
2022-04-07,696513.909138,0.001804
2022-04-08,688219.168060,-0.011909
2022-04-11,670658.753638,-0.025516
2022-04-12,678386.980905,0.011523
2022-04-13,689473.546448,0.016343
2022-04-14,668797.369136,-0.029988
2022-04-18,667907.169188,-0.001331
2022-04-19,677334.874816,0.014115
2022-04-20,676647.199456,-0.001015
2022-04-21,673369.656569,-0.004844
2022-04-22,654635.722222,-0.027821
2022-04-25,659046.166587,0.006737
2022-04-26,634445.200259,-0.037328
2022-04-27,633514.508007,-0.001467
2022-04-28,662121.121813,0.045155
2022-04-29,637884.396997,-0.036605
2022-05-02,639138.712313,0.001966
2022-05-03,645289.001199,0.009623
2022-05-04,671751.099741,0.041008
2022-05-05,634323.723349,-0.055716
2022-05-06,637322.235163,0.004727
2022-05-09,616169.989464,-0.033189
2022-05-10,626097.793958,0.016112
2022-05-11,593640.185520,-0.051841
2022-05-12,577674.486664,-0.026895
2022-05-13,596111.918960,0.031917
2022-05-16,589749.960028,-0.010672
2022-05-17,604742.960599,0.025423
2022-05-18,570623.969362,-0.056419
2022-05-19,556563.174773,-0.024641
2022-05-20,557535.494626,0.001747
2022-05-23,579903.455501,0.040119
2022-05-24,568760.061975,-0.019216
2022-05-25,569408.317258,0.001140
2022-05-26,582618.458120,0.023200
2022-05-27,606363.851096,0.040756
2022-05-31,603122.259319,-0.005346
2022-06-01,602595.480945,-0.000873
2022-06-02,612725.936172,0.016811
2022-06-03,589101.830889,-0.038556
2022-06-06,592181.327309,0.005227
2022-06-07,602595.480945,0.017586
2022-06-08,599556.413757,-0.005043
