Date,Equity,DailyReturn
2020-12-21,7249127.481443,-0.028718
2020-12-22,7560653.907733,0.042974
2020-12-23,7388452.035183,-0.022776
2020-12-24,7545687.093699,0.021281
2020-12-25,7840967.029386,0.039132
2020-12-26,8404366.215710,0.071853
2020-12-27,8351994.474156,-0.006231
2020-12-28,8610293.557577,0.030927
2020-12-29,8698552.124168,0.010250
2020-12-30,9168574.037620,0.054034
2020-12-31,9219682.246024,0.005574
2021-01-01,9338078.717050,0.012842
2021-01-02,10213297.394847,0.093726
2021-01-03,10421445.078012,0.020380
2021-01-04,10163910.323489,-0.024712
2021-01-05,10806234.695423,0.063197
2021-01-06,11706509.825422,0.083311
2021-01-07,12516102.392067,0.069157
2021-01-08,12969609.585765,0.036234
2021-01-09,12796969.357242,-0.013311
2021-01-10,12193559.322698,-0.047153
2021-01-11,11306683.232186,-0.072733
2021-01-12,10784150.495399,-0.046215
2021-01-13,11862915.981357,0.100032
2021-01-14,12457699.220042,0.050138
2021-01-15,11706828.968439,-0.060274
2021-01-16,11501074.857898,-0.017576
2021-01-17,11378090.550784,-0.010693
2021-01-18,11644745.096410,0.023436
2021-01-19,11466634.731748,-0.015295
2021-01-20,11300672.912342,-0.014473
2021-01-21,9799527.232112,-0.132837
2021-01-22,10492571.749444,0.070722
2021-01-23,10194342.534908,-0.028423
2021-01-24,10264832.783009,0.006915
2021-01-25,10289315.522863,0.002385
2021-01-26,10353994.760279,0.006286
2021-01-27,9674543.624389,-0.065622
2021-01-28,10638913.103242,0.099681
2021-01-29,10909221.029236,0.025407
2021-01-30,10894323.135192,-0.001366
2021-01-31,10527095.076302,-0.033708
2021-02-01,10661508.925533,0.012768
2021-02-02,11288764.034799,0.058834
2021-02-03,11912422.886571,0.055246
2021-02-04,11738841.372420,-0.014571
2021-02-05,12126122.043882,0.032991
2021-02-06,12482712.830088,0.029407
2021-02-07,12367451.287254,-0.009234
2021-02-08,14685912.298407,0.187465
2021-02-09,14776399.898908,0.006162
2021-02-10,14279545.136035,-0.033625
2021-02-11,15230434.858294,0.066591
2021-02-12,15101850.025871,-0.008443
2021-02-13,14974900.646182,-0.008406
2021-02-14,15487285.380124,0.034216
2021-02-15,15241792.375918,-0.015851
2021-02-16,15640698.794153,0.026172
2021-02-17,16578232.939981,0.059942
2021-02-18,16429070.212901,-0.008998
2021-02-19,17766905.320184,0.081431
2021-02-20,17834105.414891,0.003782
2021-02-21,18292018.520739,0.025676
2021-02-22,17232572.984397,-0.057918
2021-02-23,15521344.273177,-0.099302
2021-02-24,15801385.440274,0.018042
2021-02-25,14971192.626543,-0.052539
2021-02-26,14731466.549063,-0.016012
2021-02-27,14683365.363283,-0.003265
2021-02-28,14349351.772343,-0.022748
2021-03-01,15777832.188933,0.099550
2021-03-02,15379739.150760,-0.025231
2021-03-03,16066168.590857,0.044632
2021-03-04,15437654.294748,-0.039120
2021-03-05,15554049.602462,0.007540
2021-03-06,15549305.920271,-0.000305
2021-03-07,16278669.409604,0.046906
2021-03-08,16609233.275642,0.020307
2021-03-09,17428653.460313,0.049335
2021-03-10,17805186.338747,0.021604
2021-03-11,18376318.223763,0.032077
2021-03-12,18225941.014697,-0.008183
2021-03-13,19469251.424412,0.068217
2021-03-14,18852278.432565,-0.031690
2021-03-15,17772966.553895,-0.057251
2021-03-16,18058347.467962,0.016057
2021-03-17,18715128.894364,0.036370
2021-03-18,18393421.557486,-0.017190
2021-03-19,18548471.666050,0.008430
2021-03-20,18537978.442355,-0.000566
2021-03-21,18286765.699883,-0.013551
2021-03-22,17334881.294525,-0.052053
2021-03-23,17401577.217774,0.003847
2021-03-24,16777003.158207,-0.035892
2021-03-25,16436815.329609,-0.020277
2021-03-26,17528218.630661,0.066400
2021-03-27,17794047.378209,0.015166
2021-03-28,17786810.158363,-0.000407
2021-03-29,18358858.492975,0.032161
2021-03-30,18730005.677780,0.020216
2021-03-31,18730368.283854,0.000019
2021-04-01,18786629.348083,0.003004
2021-04-02,18878345.090387,0.004882
2021-04-03,18312346.813270,-0.029981
2021-04-04,18679415.921553,0.020045
2021-04-05,18774571.454346,0.005094
2021-04-06,18499421.743832,-0.014655
2021-04-07,17818025.325704,-0.036833
2021-04-08,18541255.556832,0.040590
2021-04-09,18516157.504275,-0.001354
2021-04-10,19008341.851253,0.026581
2021-04-11,19139231.467484,0.006886
2021-04-12,19040201.513634,-0.005174
2021-04-13,20187826.141264,0.060274
2021-04-14,20062648.812488,-0.006201
2021-04-15,20127601.246261,0.003237
2021-04-16,19574064.448409,-0.027501
2021-04-17,19291460.202766,-0.014438
2021-04-18,17871193.062096,-0.073622
2021-04-19,17714811.742194,-0.008750
2021-04-20,17952845.244065,0.013437
2021-04-21,17136811.452413,-0.045454
2021-04-22,16455289.612321,-0.039769
2021-04-23,16242734.154303,-0.012917
2021-04-24,15911231.486240,-0.020409
2021-04-25,15578511.852589,-0.020911
2021-04-26,17173581.198404,0.102389
2021-04-27,17495094.814229,0.018721
2021-04-28,17428839.730556,-0.003787
2021-04-29,17025234.334988,-0.023157
2021-04-30,18358851.042166,0.078332
2021-05-01,18383607.599277,0.001348
2021-05-02,18003088.537640,-0.020699
2021-05-03,18184042.628013,0.010051
2021-05-04,16954796.863456,-0.067600
2021-05-05,18255161.848635,0.076696
2021-05-06,17928520.833918,-0.017893
2021-05-07,18233669.987985,0.017020
2021-05-08,18693792.258916,0.025235
2021-05-09,18512124.132611,-0.009718
2021-05-10,17757897.291227,-0.040742
2021-05-11,18026453.035134,0.015123
2021-05-12,15625014.839683,-0.133217
2021-05-13,15804837.648780,0.011509
2021-05-14,15857082.726568,0.003306
2021-05-15,14865120.415702,-0.062556
2021-05-16,14768437.466916,-0.006504
2021-05-17,13840627.869579,-0.062824
2021-05-18,13640951.136170,-0.014427
2021-05-19,11763121.077709,-0.137661
2021-05-20,12964882.046994,0.102163
2021-05-21,11859206.719916,-0.085282
2021-05-22,11932941.174751,0.006217
2021-05-23,11053610.270886,-0.073689
2021-05-24,12304678.215325,0.113182
2021-05-25,12208113.237693,-0.007848
2021-05-26,12491673.670584,0.023227
2021-05-27,12219159.063110,-0.021816
2021-05-28,11348312.147918,-0.071269
2021-05-29,11004489.565976,-0.030297
2021-05-30,11342120.525037,0.030681
2021-05-31,11868160.109601,0.046379
2021-06-01,11662182.474768,-0.017355
2021-06-02,11945195.273144,0.024268
2021-06-03,12464514.227336,0.043475
2021-06-04,11728776.570284,-0.059027
2021-06-05,11302010.332687,-0.036386
2021-06-06,11400693.823885,0.008731
2021-06-07,10668989.538496,-0.064181
2021-06-08,10640990.637353,-0.002624
2021-06-09,11872059.366690,0.115691
2021-06-10,11667800.385300,-0.017205
2021-06-11,11868650.621241,0.017214
2021-06-12,11302187.910319,-0.047728
2021-06-13,12429256.995720,0.099721
2021-06-14,12785502.561076,0.028662
2021-06-15,12845202.173993,0.004669
2021-06-16,12190577.757006,-0.050963
2021-06-17,12097255.123406,-0.007655
2021-06-18,11376809.011511,-0.059555
2021-06-19,11322328.690806,-0.004789
2021-06-20,11348531.946805,0.002314
2021-06-21,10070059.303299,-0.112655
2021-06-22,10333588.855146,0.026170
2021-06-23,10720591.363045,0.037451
2021-06-24,11019230.993016,0.027857
2021-06-25,10057688.475553,-0.087260
2021-06-26,10232056.671031,0.017337
2021-06-27,11015164.092708,0.076535
2021-06-28,10946717.229174,-0.006214
2021-06-29,11402409.993725,0.041628
2021-06-30,11139524.316018,-0.023055
2021-07-01,10672616.841031,-0.041914
2021-07-02,10775912.383447,0.009679
2021-07-03,11021173.170751,0.022760
2021-07-04,11218028.530878,0.017862
2021-07-05,10727895.640178,-0.043692
2021-07-06,10883410.182549,0.014496
2021-07-07,10762649.942138,-0.011096
2021-07-08,10451756.213773,-0.028886
2021-07-09,10744428.986957,0.028002
2021-07-10,10656213.883422,-0.008210
2021-07-11,10884997.205020,0.021469
2021-07-12,10540284.251316,-0.031669
2021-07-13,10396013.601720,-0.013688
2021-07-14,10434264.196143,0.003679
2021-07-15,10103132.826765,-0.031735
2021-07-16,9988945.442333,-0.011302
2021-07-17,10024400.741307,0.003549
2021-07-18,10108244.703137,0.008364
2021-07-19,9797026.243648,-0.030789
2021-07-20,9475792.033187,-0.032789
2021-07-21,10208028.430570,0.077274
2021-07-22,10272375.486053,0.006304
2021-07-23,10675615.791945,0.039255
2021-07-24,10901610.027102,0.021169
2021-07-25,11237867.553571,0.030845
2021-07-26,11869647.787943,0.056219
2021-07-27,12527514.548962,0.055424
2021-07-28,12714747.188329,0.014946
2021-07-29,12718725.920722,0.000313
2021-07-30,13426731.663980,0.055666
2021-07-31,13233018.061954,-0.014427
2021-08-01,12708067.537411,-0.039670
2021-08-02,12462346.041706,-0.019336
2021-08-03,12128878.843480,-0.026758
2021-08-04,12635779.781465,0.041793
2021-08-05,12992481.088015,0.028229
2021-08-06,13611417.368224,0.047638
2021-08-07,14164343.199678,0.040622
2021-08-08,13923474.664707,-0.017005
2021-08-09,14739617.734901,0.058616
2021-08-10,14491536.816117,-0.016831
2021-08-11,14494272.505088,0.000189
2021-08-12,14123807.069372,-0.025559
2021-08-13,15193554.591960,0.075741
2021-08-14,14972176.133426,-0.014571
2021-08-15,14956299.699705,-0.001060
2021-08-16,14624881.474153,-0.022159
2021-08-17,14208709.046183,-0.028456
2021-08-18,14242351.935692,0.002368
2021-08-19,14851574.843623,0.042775
2021-08-20,15684983.923552,0.056116
2021-08-21,15547115.382212,-0.008790
2021-08-22,15679413.201481,0.008509
2021-08-23,15750780.782427,0.004552
2021-08-24,15165832.612578,-0.037138
2021-08-25,15564694.325955,0.026300
